INSTNM,CONTROL,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT
University of Michigan-Ann Arbor,1,34654,,17736,60946
Stanford University,2,87833,,65910,65910
University of Phoenix-Arizona,3,19909,,9552,9552
Slippery Rock University of Pennsylvania,1,25537,,10568,14676
Arizona State University-Downtown Phoenix,1,,,12223,33139
Paul Mitchell the School-Dallas,3,,37871,,
