awlevel,label,years_charged,awards,share,data_year
20,Under 12 weeks,1,209958,0.09588,2023
21,12 weeks to under 1 year,1,1017754,0.46477,2023
2,1 to under 2 years,2,914700,0.41771,2023
4,2 to under 4 years,3,47406,0.02165,2023
