age_low,age_high,median_wage,mean_wage,ratio_to_25plus,n_unweighted
18,20,31200,35150,0.624,363
21,23,35000,43632,0.7,637
24,26,40000,45896,0.8,735
27,29,45000,52316,0.9,726
30,32,45000,54230,0.9,782
33,35,48000,57620,0.96,747
36,40,50000,60776,1.0,1263
41,50,50000,62103,1.0,2346
51,64,50000,69640,1.0,2772
