state,occ_code,occ_title,o_group,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual_growth_rate
NJ,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,36700.0,40130.0,45680.0,51800.0,60950.0,0.013037899916238382
NJ,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,45350.0,46320.0,47870.0,53000.0,57080.0,0.0032969400044171593
NJ,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,32490.0,36300.0,44450.0,51540.0,67180.0,0.020461240922634794
NJ,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,36120.0,41480.0,48180.0,62610.0,75110.0,0.015085922258681661
NJ,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,39020.0,46510.0,50530.0,57460.0,60810.0,0.008324444704530976
NJ,51-4041,Machinists,detailed,46170.0,51110.0,63190.0,79330.0,90740.0,0.021443260851609303
NJ,51-4051,Metal-Refining Furnace Operators and Tenders,detailed,53100.0,60430.0,75020.0,79110.0,79110.0,0.02186246404603942
NJ,51-4061,"Model Makers, Metal and Plastic",detailed,41990.0,44500.0,72340.0,89330.0,89330.0,0.04978859282926518
NJ,51-4071,Foundry Mold and Coremakers,detailed,49610.0,49610.0,55210.0,55210.0,62710.0,0.010752564740500459
NJ,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,32220.0,34870.0,39950.0,48110.0,60800.0,0.013693084304969627
NJ,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,35090.0,37700.0,41390.0,51320.0,60660.0,0.009381655539679734
NJ,51-4111,Tool and Die Makers,detailed,48890.0,60480.0,74460.0,85430.0,96960.0,0.0210126548371965
NJ,51-4121,"Welders, Cutters, Solderers, and Brazers",detailed,43290.0,49870.0,59440.0,71060.0,81760.0,0.01770976881627151
NJ,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed,36620.0,42000.0,53680.0,62280.0,64860.0,0.024840599114569928
NJ,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detailed,37700.0,38780.0,49640.0,58110.0,74340.0,0.024996533929224407
NJ,51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,32220.0,32220.0,40800.0,46970.0,51490.0,0.02389038026662771
NJ,51-4194,"Tool Grinders, Filers, and Sharpeners",detailed,37820.0,47380.0,49470.0,55840.0,72030.0,0.004325952686369927
NJ,51-4199,"Metal Workers and Plastic Workers, All Other",detailed,32220.0,33790.0,33790.0,46950.0,48850.0,0.0
NJ,51-5111,Prepress Technicians and Workers,detailed,45150.0,49390.0,56840.0,70390.0,77860.0,0.01414838714273614
NJ,51-5112,Printing Press Operators,detailed,37900.0,43650.0,50430.0,63950.0,77550.0,0.014543031028046327
NJ,51-5113,Print Binding and Finishing Workers,detailed,32220.0,36210.0,46600.0,58460.0,61500.0,0.02554740299238767
NJ,51-6011,Laundry and Dry-Cleaning Workers,detailed,32220.0,34490.0,36050.0,37280.0,40770.0,0.004433542876671748
NJ,51-6021,"Pressers, Textile, Garment, and Related Materials",detailed,33330.0,35460.0,37920.0,38200.0,48430.0,0.006729882239898899
NJ,51-6031,Sewing Machine Operators,detailed,32220.0,33330.0,36130.0,39100.0,46170.0,0.008099187679629027
NJ,51-6041,Shoe and Leather Workers and Repairers,detailed,35000.0,36650.0,46790.0,59340.0,59340.0,0.024726356474491062
NJ,51-6051,"Sewers, Hand",detailed,34980.0,35720.0,36400.0,40280.0,40280.0,0.0018875811060310443
NJ,51-6052,"Tailors, Dressmakers, and Custom Sewers",detailed,35650.0,36380.0,43150.0,57980.0,68190.0,0.017212786160382354
NJ,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,detailed,32820.0,32820.0,36570.0,45280.0,49120.0,0.010877751823930693
NJ,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",detailed,33790.0,38520.0,40780.0,46440.0,56240.0,0.005717701836842393
NJ,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detailed,32940.0,34350.0,36850.0,41350.0,48080.0,0.0070500957301227185
NJ,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detailed,37030.0,39630.0,47230.0,48520.0,52510.0,0.01769909267487413
NJ,51-6093,Upholsterers,detailed,36250.0,38070.0,42640.0,62420.0,74480.0,0.011401123951818581
NJ,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",detailed,32220.0,32220.0,37410.0,46260.0,46280.0,0.015047152481098225
NJ,51-7011,Cabinetmakers and Bench Carpenters,detailed,38090.0,44190.0,51760.0,71500.0,76670.0,0.015937582889238966
NJ,51-7021,Furniture Finishers,detailed,34870.0,35720.0,37690.0,47860.0,84450.0,0.005382840834560199
NJ,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,34750.0,40080.0,44630.0,52270.0,58090.0,0.010810902198417516
NJ,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed,36670.0,38020.0,49680.0,68100.0,78590.0,0.027109976134013003
NJ,51-7099,"Woodworkers, All Other",detailed,48380.0,52800.0,57490.0,58310.0,60610.0,0.008546295730833098
NJ,51-8012,Power Distributors and Dispatchers,detailed,102350.0,111460.0,128220.0,135440.0,151970.0,0.014106749878106006
NJ,51-8013,Power Plant Operators,detailed,83510.0,123130.0,131370.0,131770.0,131940.0,0.006498731881208197
NJ,51-8021,Stationary Engineers and Boiler Operators,detailed,54170.0,63070.0,76560.0,87190.0,106490.0,0.019572021669858275
NJ,51-8031,Water and Wastewater Treatment Plant and System Operators,detailed,51050.0,62280.0,78760.0,93520.0,99240.0,0.023754232698385724
NJ,51-8091,Chemical Plant and System Operators,detailed,62760.0,72570.0,86820.0,94920.0,115500.0,0.01809022071503552
NJ,51-8092,Gas Plant Operators,detailed,87020.0,104410.0,110900.0,123750.0,128230.0,0.006048562932758683
NJ,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detailed,79930.0,104440.0,104540.0,104540.0,122800.0,9.570752505783098e-05
NJ,51-8099,"Plant and System Operators, All Other",detailed,45860.0,51640.0,69970.0,84700.0,95750.0,0.030843089868108686
NJ,51-9011,Chemical Equipment Operators and Tenders,detailed,35980.0,46830.0,56500.0,68050.0,79780.0,0.018948956771412062
NJ,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detailed,42430.0,47240.0,58140.0,78840.0,89340.0,0.020978305203273484
NJ,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detailed,35600.0,39040.0,46690.0,57010.0,66500.0,0.018055387441250792
NJ,51-9022,"Grinding and Polishing Workers, Hand",detailed,35380.0,40110.0,47840.0,57890.0,61900.0,0.017779855711876014
NJ,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",detailed,37940.0,46690.0,57810.0,65850.0,75240.0,0.02159300254918528
NJ,51-9031,"Cutters and Trimmers, Hand",detailed,32220.0,32220.0,34600.0,42620.0,51520.0,0.0071520852953455005
NJ,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",detailed,36820.0,39460.0,48600.0,59820.0,62930.0,0.02105213752065138
NJ,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detailed,35350.0,39680.0,47080.0,54930.0,62570.0,0.01724714366557656
