age_low,age_high,median_wage,mean_wage,ratio_to_25plus,n_unweighted
21,23,49000,55327,0.5444,220
24,26,60800,72350,0.6756,935
27,29,77002,96907,0.8556,1245
30,32,80000,100047,0.8889,1472
33,35,87000,110366,0.9667,1715
36,40,95000,123480,1.0556,2981
41,50,99000,126662,1.1,5304
51,64,99000,128326,1.1,4469
