occ_code,occ_title,o_group,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual_growth_rate,typical_education
17-2141,Mechanical Engineers,detailed,82070.0,102360.0,130900.0,166580.0,203620.0,0.0248986874186323,Bachelor's degree
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,84430.0,122120.0,158130.0,169770.0,175940.0,0.0261781130715319,Bachelor's degree
17-2161,Nuclear Engineers,detailed,109990.0,135400.0,172400.0,176390.0,207740.0,0.0244525780973061,Bachelor's degree
17-2171,Petroleum Engineers,detailed,61780.0,126500.0,143590.0,171980.0,207370.0,0.0127526004548901,Bachelor's degree
17-2199,"Engineers, All Other",detailed,74950.0,98520.0,130850.0,169830.0,212130.0,0.0287857317449562,Bachelor's degree
17-3011,Architectural and Civil Drafters,detailed,49850.0,62220.0,76520.0,96300.0,114600.0,0.0209030362809927,Associate's degree
17-3012,Electrical and Electronics Drafters,detailed,50620.0,63180.0,78310.0,102530.0,146810.0,0.0217008630545174,Associate's degree
17-3013,Mechanical Drafters,detailed,50200.0,65900.0,82510.0,102860.0,128160.0,0.0227326418639211,Associate's degree
17-3019,"Drafters, All Other",detailed,49200.0,61160.0,73390.0,90850.0,104290.0,0.0183966008803333,Associate's degree
17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,71990.0,81560.0,99000.0,119980.0,161650.0,0.0195670643146661,Associate's degree
17-3022,Civil Engineering Technologists and Technicians,detailed,54690.0,65610.0,83490.0,101790.0,111150.0,0.0243926230575377,Associate's degree
17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,59590.0,73550.0,86090.0,112200.0,138400.0,0.0158673517812277,Associate's degree
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,56020.0,71090.0,81550.0,105510.0,129380.0,0.013821612273233,Associate's degree
17-3025,Environmental Engineering Technologists and Technicians,detailed,45540.0,49400.0,60010.0,81230.0,111110.0,0.0196465820619811,Associate's degree
17-3026,Industrial Engineering Technologists and Technicians,detailed,50590.0,62290.0,79070.0,96460.0,105410.0,0.0241400283272197,Associate's degree
17-3027,Mechanical Engineering Technologists and Technicians,detailed,57950.0,69490.0,87390.0,104220.0,124740.0,0.0231844770981881,Associate's degree
17-3028,Calibration Technologists and Technicians,detailed,52670.0,61890.0,79010.0,100240.0,117040.0,0.0247222303645244,Associate's degree
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",detailed,52060.0,63250.0,80480.0,104600.0,128880.0,0.0243838991514393,Associate's degree
17-3031,Surveying and Mapping Technicians,detailed,48000.0,61090.0,78110.0,102770.0,119270.0,0.0248814939994235,High school diploma or equivalent
19-1012,Food Scientists and Technologists,detailed,60060.0,74660.0,93950.0,120100.0,140810.0,0.0232479420896887,Bachelor's degree
19-1013,Soil and Plant Scientists,detailed,49350.0,73270.0,91930.0,120310.0,154830.0,0.0229469383670755,Bachelor's degree
19-1021,Biochemists and Biophysicists,detailed,83580.0,105920.0,139580.0,179990.0,208210.0,0.0279796613312548,Doctoral or professional degree
19-1022,Microbiologists,detailed,62440.0,80060.0,108530.0,141360.0,183420.0,0.0308925989574813,Bachelor's degree
19-1023,Zoologists and Wildlife Biologists,detailed,58380.0,75250.0,98530.0,168170.0,177760.0,0.0273210757178983,Bachelor's degree
19-1029,"Biological Scientists, All Other",detailed,69770.0,86090.0,113530.0,154150.0,189710.0,0.0280536823461818,Bachelor's degree
19-1031,Conservation Scientists,detailed,53650.0,64310.0,79810.0,104990.0,132060.0,0.0218281908899304,Bachelor's degree
19-1032,Foresters,detailed,71110.0,91170.0,107120.0,130430.0,156750.0,0.0162530474321507,Bachelor's degree
19-1041,Epidemiologists,detailed,71910.0,86310.0,110760.0,133970.0,168220.0,0.0252556777652157,Master's degree
19-1042,"Medical Scientists, Except Epidemiologists",detailed,81320.0,109570.0,136990.0,162020.0,180060.0,0.0225857122721155,Doctoral or professional degree
19-1099,"Life Scientists, All Other",detailed,62910.0,79880.0,102830.0,143590.0,187550.0,0.0255767764586771,Bachelor's degree
19-2011,Astronomers,detailed,76020.0,76020.0,123540.0,182780.0,195190.0,0.0497550515020563,Doctoral or professional degree
19-2012,Physicists,detailed,125390.0,173450.0,207490.0,222760.0,296740.0,0.0180808925815831,Doctoral or professional degree
19-2021,Atmospheric and Space Scientists,detailed,82900.0,105910.0,124920.0,144910.0,175900.0,0.0166454018871902,Bachelor's degree
19-2031,Chemists,detailed,60930.0,76340.0,97860.0,127790.0,164150.0,0.0251450183033377,Bachelor's degree
19-2032,Materials Scientists,detailed,96050.0,131060.0,177030.0,233890.0,300330.0,0.0305229559459507,Bachelor's degree
